,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,LAT,LONG
116,-8212716.115,4952941.335,117,0.169885858,0.000904294,Hammels/Arverne,117,Queens,40.59605583,-73.7760841
117,-8252900.896,4951413.131,118,0.243966218,0.001826939,Heartland Village/Todt Hill,118,Staten Island,40.58563106,-74.13707013
118,-8229512.234,4988289.126,119,0.083507036,0.000185779,Highbridge,119,Bronx,40.83673003,-73.92696621
119,-8229939.773,4989653.766,120,0.08326127,9.31E-05,Highbridge Park,120,Manhattan,40.84600407,-73.93080685
120,-8215343.723,4972208.238,121,0.096915337,0.000384563,Hillcrest/Pomonok,121,Queens,40.72734719,-73.79968831
121,-8211099.765,4969817.286,122,0.066531844,0.000226597,Hollis,122,Queens,40.71106846,-73.76156418
122,-8233768.212,4953549.614,123,0.083421139,0.000296445,Homecrest,123,Brooklyn,40.6002048,-73.96519831
123,-8220944.956,4962256.779,124,0.12772441,0.000754838,Howard Beach,124,Queens,40.65956677,-73.85000504
124,-8238441.113,4971918.736,125,0.049732212,7.64E-05,Hudson Sq,125,Manhattan,40.72537634,-74.00717569
125,-8224838.047,4984933.263,126,0.129948726,0.000703274,Hunts Point,126,Bronx,40.81391819,-73.88497727
126,-8228772.991,4992458.768,127,0.060018886,0.000163196,Inwood,127,Manhattan,40.86506268,-73.92032547
127,-8229341.456,4993507.605,128,0.070209029,0.000207406,Inwood Hill Park,128,Manhattan,40.87218761,-73.92543208
128,-8225108.454,4976867.391,129,0.093272727,0.000473988,Jackson Heights,129,Queens,40.75905747,-73.88740638
129,-8215417.107,4968672.657,130,0.142028321,0.000468323,Jamaica,130,Queens,40.70327388,-73.80034753
130,-8212191.844,4971189.602,131,0.116547121,0.000423696,Jamaica Estates,131,Queens,40.72041233,-73.7713745
131,-8212958.742,4959767.98,132,0.245478517,0.002038301,JFK Airport,132,Queens,40.64260452,-73.77826366
132,-8234785.437,4959295.988,133,0.065134863,0.000157189,Kensington,133,Brooklyn,40.6393872,-73.9743362
133,-8218717.193,4969476.834,134,0.069587822,0.000202375,Kew Gardens,134,Queens,40.70875018,-73.8299927
134,-8218048.476,4972511.251,135,0.121793046,0.000467912,Kew Gardens Hills,135,Queens,40.72940997,-73.82398552
135,-8227147.113,4992420.503,136,0.090628715,0.000148525,Kingsbridge Heights,136,Bronx,40.86480273,-73.90571996
136,-8235095.259,4974119.813,137,0.046107624,0.000116455,Kips Bay,137,Manhattan,40.74035924,-73.97711937
137,-8223482.893,4979191.154,138,0.107466934,0.000536797,LaGuardia Airport,138,Queens,40.77486739,-73.87280371
138,-8209069.175,4964925.338,139,0.093299788,0.00044667,Laurelton,139,Queens,40.67774937,-73.74332308
139,-8232584.856,4977815.258,140,0.047584291,0.000114204,Lenox Hill East,140,Manhattan,40.76550682,-73.95456804
140,-8233157.555,4978011.034,141,0.041514464,7.67E-05,Lenox Hill West,141,Manhattan,40.76683881,-73.95971268
141,-8235566.479,4979049.829,142,0.038175894,7.57E-05,Lincoln Square East,142,Manhattan,40.77390598,-73.98135241
142,-8236303.475,4979323.868,143,0.054179854,0.000151094,Lincoln Square West,143,Manhattan,40.77577021,-73.98797296
143,-8237353.632,4971214.443,144,0.027620167,4.75E-05,Little Italy/NoLiTa,144,Manhattan,40.72058145,-73.99740668
144,-8231931.539,4975035.291,145,0.114313845,0.000346642,Long Island City/Hunters Point,145,Queens,40.74658997,-73.94869919
145,-8230254.5,4976201.877,146,0.047140522,0.000104639,Long Island City/Queens Plaza,146,Queens,40.7545289,-73.9336341
146,-8226309.208,4985709.954,147,0.058765495,0.000106418,Longwood,147,Bronx,40.81919853,-73.89819293
147,-8236609.092,4971013.254,148,0.039130502,6.97E-05,Lower East Side,148,Manhattan,40.71921168,-73.99071837
148,-8231906.494,4954481.124,149,0.083680582,0.00027064,Madison,149,Brooklyn,40.60655799,-73.94847421
149,-8231284.224,4950626.202,150,0.089331491,0.000332568,Manhattan Beach,150,Brooklyn,40.58026232,-73.94288426
150,-8234058.765,4982572.547,151,0.054889941,0.000128849,Manhattan Valley,151,Manhattan,40.79786627,-73.96780839
151,-8232557.787,4985471.464,152,0.057909477,0.000146638,Manhattanville,152,Manhattan,40.8175772,-73.95432487
152,-8227741.85,4994010.032,153,0.024737239,3.25E-05,Marble Hill,153,Manhattan,40.87560041,-73.91106258
153,-8226078.818,4952510.742,154,0.227331571,0.001789687,Marine Park/Floyd Bennett Field,154,Brooklyn,40.59311867,-73.89612331
154,-8227263.929,4956127.975,155,0.169808473,0.000868261,Marine Park/Mill Basin,155,Brooklyn,40.61778854,-73.90676934
155,-8255994.373,4957735.396,156,0.14447689,0.001052122,Mariners Harbor,156,Staten Island,40.62874838,-74.16485931
156,-8226724.737,4971722.349,157,0.131300218,0.00035437,Maspeth,157,Queens,40.72403935,-73.90192569
157,-8238575.817,4973368.896,158,0.054809991,0.000185568,Meatpacking/West Village West,158,Manhattan,40.73524807,-74.00838576
158,-8228022.421,4985571.821,159,0.064363233,0.000171249,Melrose South,159,Bronx,40.81825946,-73.91358299
159,-8224363.267,4970909.287,160,0.141519143,0.000571235,Middle Village,160,Queens,40.71850382,-73.88071225
160,-8235130.042,4976745.266,161,0.03580391,7.19E-05,Midtown Center,161,Manhattan,40.75822648,-73.97743183
161,-8234541.568,4976538.004,162,0.035269815,4.79E-05,Midtown East,162,Manhattan,40.75681615,-73.97214548
162,-8235234.143,4977656.322,163,0.034176867,4.09E-05,Midtown North,163,Manhattan,40.76442545,-73.97836699
163,-8236075.921,4975361.157,164,0.035771612,5.56E-05,Midtown South,164,Manhattan,40.74880767,-73.98592881
164,-8232588.742,4956592.899,165,0.088608036,0.000353959,Midwood,165,Brooklyn,40.6209587,-73.95460295
165,-8233391.613,4984293.763,166,0.068823754,0.000255276,Morningside Heights,166,Manhattan,40.80957023,-73.96181526
166,-8227004.917,4987002.95,167,0.090815974,0.000167529,Morrisania/Melrose,167,Bronx,40.82798804,-73.90444259
167,-8228409.261,4983980.394,168,0.114517434,0.000547058,Mott Haven/Port Morris,168,Bronx,40.80743953,-73.91705803
168,-8227069.356,4990111.544,169,0.060104658,0.000146028,Mount Hope,169,Bronx,40.84911482,-73.90502146
169,-8235075.513,4975191.678,170,0.045769009,7.43E-05,Murray Hill,170,Manhattan,40.74765428,-73.97694199
170,-8216367.017,4978320.413,171,0.107353876,0.0005201,Murray Hill-Queens,171,Queens,40.76894367,-73.80888071
171,-8249211.364,4949483.474,172,0.118476116,0.000658403,New Dorp/Midland Beach,172,Staten Island,40.57246542,-74.1039265
172,-8222400.866,4975797.813,173,0.060063966,0.00017833,North Corona,173,Queens,40.75177924,-73.8630837
173,-8224034.687,4994194.383,174,0.067817756,0.000155929,Norwood,174,Bronx,40.87685259,-73.87776056
174,-8210631.398,4974548.045,175,0.134897665,0.000504921,Oakland Gardens,175,Queens,40.74327385,-73.75735677
175,-8250957.514,4947958.734,176,0.151995191,0.000657782,Oakwood,176,Staten Island,40.56206061,-74.11961243
176,-8227746.661,4964829.818,177,0.071580541,0.000198895,Ocean Hill,177,Brooklyn,40.67709861,-73.91110579
177,-8234379.409,4956105.192,178,0.068252877,0.000175805,Ocean Parkway South,178,Brooklyn,40.61763318,-73.97068878
178,-8229495.108,4978685.19,179,0.071380864,0.000183893,Old Astoria,179,Queens,40.77142534,-73.92681236
179,-8220873.635,4964545.832,180,0.080527767,0.000247682,Ozone Park,180,Queens,40.67516385,-73.84936435
180,-8235309.607,4964084.266,181,0.08953724,0.00030689,Park Slope,181,Brooklyn,40.67201914,-73.97904489
181,-8221828.452,4988388.345,182,0.039360637,9.11E-05,Parkchester,182,Bronx,40.83740436,-73.85794162
182,-8218924.397,4990178.33,183,0.039826296,9.52E-05,Pelham Bay,183,Bronx,40.84956864,-73.83185405
183,-8215891.697,4992417.955,184,0.260815683,0.001988834,Pelham Bay Park,184,Bronx,40.86478542,-73.80461084
